Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Currency,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision_Hours,Discount (%)
29-374-1297,33,Non-binary,Middle,Widowed,High School,Middle,Nantes,Animal Feed,USD,$333.80,4,Online,5,4,0,Low,Not Sensitive,1,8,Medium,Desktop,PayPal,3/1/2024,TRUE,TRUE,Wants-based,Standard,2,25
73-846-1423,38,Female,High,Single,High School,High,Saint Joseph,Beauty & Personal Care,USD,$222.22,11,In-Store,1,5,2,Low,Somewhat Sensitive,2,8,None,Desktop,PayPal,4/16/2024,FALSE,FALSE,Planned,No Preference,6,15
98-376-8787,36,Male,High,Married,Master's,Middle,Pho Duc,Electronics,USD,$426.22,2,Mixed,1,5,0,Medium,Somewhat Sensitive,1,3,Low,Smartphone,Other,3/15/2024,FALSE,TRUE,Planned,No Preference,3,0
84-208-7045,33,Male,High,Divorced,High School,High,Kazimierz Dolny,Books,USD,$101.31,6,In-Store,4,3,0.3,Medium,Not Sensitive,1,3,High,Tablet,PayPal,10/4/2024,FALSE,TRUE,Need-based,Express,10,0
55-876-7407,42,Female,High,Married,Bachelor's,Middle,Muaralabuh,Packages),USD,$211.70,6,Mixed,2,3,1,High,Not Sensitive,2,1,None,Smartphone,Credit Card,1/30/2024,FALSE,TRUE,Need-based,No Preference,4,10
46-452-3822,38,Female,Middle,Single,Bachelor's,Middle,Genting,Furniture,USD,$487.95,8,Mixed,1,2,2,None,Not Sensitive,1,7,High,Desktop,Debit Card,3/19/2024,TRUE,FALSE,Need-based,No Preference,7,15
87-518-0375,46,Non-binary,Middle,Divorced,High School,High,Bistrinci,Sports & Outdoors,USD,$486.40,12,In-Store,1,5,1,Medium,Very Sensitive,1,6,Low,Desktop,Debit Card,3/15/2024,TRUE,TRUE,Planned,Express,13,20
48-630-6410,39,Male,High,Divorced,Master's,High,Dom Pedrito,Groceries,USD,$218.06,6,In-Store,3,4,1,None,Somewhat Sensitive,1,3,Medium,Smartphone,Debit Card,3/17/2024,TRUE,FALSE,Planned,Express,13,0
44-786-7696,41,Bigender,Middle,Divorced,Master's,Middle,Zhongying,Gardening & Outdoors,USD,$201.96,8,In-Store,1,2,0,None,Somewhat Sensitive,0,4,Low,Smartphone,PayPal,6/10/2024,TRUE,TRUE,Impulsive,No Preference,7,0
52-779-8972,47,Male,High,Widowed,High School,High,Florida,Food & Beverages,USD,$418.83,7,In-Store,3,2,0,None,Somewhat Sensitive,2,5,High,Tablet,Credit Card,10/7/2024,TRUE,TRUE,Impulsive,No Preference,13,25
81-926-9297,22,Female,Middle,Widowed,Master's,High,GÃ¤vle,Packages),USD,$389.70,12,Mixed,4,1,0,None,Not Sensitive,0,3,High,Desktop,Other,7/2/2024,FALSE,FALSE,Wants-based,Standard,12,15
30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Parumasan,Clothing,USD,$238.93,5,Online,3,2,2,Medium,Not Sensitive,1,8,None,Tablet,Credit Card,12/27/2024,FALSE,TRUE,Impulsive,Express,1,30
63-808-3641,25,Male,High,Widowed,Bachelor's,Middle,Pointe Michel,Home Appliances,USD,$61.22,7,Online,1,2,1,Medium,Very Sensitive,1,1,None,Desktop,paypal,8/5/2024,FALSE,TRUE,Need-based,Standard,5,30
78-091-8662,43,Male,High,Divorced,High School,Middle,Prengtale,Gardening & Outdoors,USD,$79.81,4,Online,4,1,1,None,Somewhat Sensitive,1,8,Low,Smartphone,Cash,7/16/2024,TRUE,TRUE,Planned,Express,14,5
14-364-4904,43,Male,High,Widowed,Master's,High,GuÃ©ret,Electronics,USD,$58.51,2,Online,1,2,1,High,Somewhat Sensitive,0,9,Low,Desktop,Credit Card,12/14/2024,TRUE,TRUE,Need-based,Standard,14,20
74-033-1145,27,Polygender,High,Widowed,Bachelor's,Middle,Mranggen,Jewelry & Accessories,USD,$109.29,3,Mixed,5,1,0,High,Not Sensitive,2,6,None,Tablet,Other,8/11/2024,TRUE,FALSE,Wants-based,Standard,11,10
61-663-9008,18,Male,Middle,Married,Master's,Middle,Taishihe,Travel & Leisure (Flights,USD,$356.45,6,In-Store,4,5,0,High,Somewhat Sensitive,2,6,Low,Smartphone,PayPal,10/18/2024,TRUE,TRUE,Wants-based,Express,8,5
76-213-5806,21,Female,High,Widowed,Bachelor's,Middle,Rende,Electronics,USD,$236.99,10,In-Store,3,1,2,None,Not Sensitive,1,3,Low,Desktop,Debit Card,12/9/2024,FALSE,TRUE,Need-based,Express,13,10
29-438-8126,36,Female,Middle,Single,High School,High,Pasirmadang,Packages),USD,$454.39,10,Online,1,3,0,Medium,Very Sensitive,2,2,Low,Smartphone,Debit Card,7/23/2024,FALSE,FALSE,Planned,Express,3,5
55-846-2579,47,Male,Middle,Divorced,Bachelor's,High,Kiev,Software & Apps,USD,$490.75,10,Mixed,2,2,1,Medium,Very Sensitive,1,6,High,Smartphone,PayPal,7/8/2024,FALSE,FALSE,Wants-based,Standard,13,5
45-795-1873,20,Agender,High,Widowed,Master's,Middle,Jagistay,Packages),USD,$463.07,7,Mixed,3,4,2,High,Not Sensitive,0,4,High,Tablet,Credit Card,7/23/2024,TRUE,TRUE,Need-based,No Preference,11,5
18-097-5707,34,Male,Middle,Widowed,High School,High,DhÄ«bÄ«n,Sports & Outdoors,USD,$56.74,5,In-Store,3,3,2,High,Somewhat Sensitive,0,7,None,Desktop,Cash,7/31/2024,FALSE,TRUE,Need-based,Standard,7,30
93-649-9356,18,Female,High,Single,Master's,Middle,Cibuah,Electronics,USD,$371.32,7,Mixed,5,4,2,None,Not Sensitive,2,4,Medium,Desktop,Credit Card,2/25/2024,TRUE,FALSE,Impulsive,No Preference,6,5
37-283-9076,18,Female,Middle,Single,High School,High,Valbo,Furniture,USD,$461.00,7,In-Store,5,3,2,None,Not Sensitive,1,5,Low,Desktop,Cash,7/10/2024,FALSE,FALSE,Planned,Standard,9,25
22-311-5460,44,Male,Middle,Widowed,High School,Middle,Bronnitsy,Arts & Crafts,USD,$253.37,6,Online,1,1,1,High,Not Sensitive,1,8,None,Tablet,Credit Card,12/25/2024,TRUE,TRUE,Planned,No Preference,8,25
08-755-1170,47,Male,Middle,Single,High School,High,Sinarwangi,Furniture,USD,$136.53,3,In-Store,1,3,0,Low,Not Sensitive,1,8,Low,Tablet,Cash,5/31/2024,FALSE,TRUE,Impulsive,Express,10,5
75-953-8663,35,Male,High,Single,Master's,Middle,Acobambilla,Hotels,USD,$489.05,10,Mixed,4,5,1,Medium,Not Sensitive,1,2,None,Desktop,Cash,9/4/2024,FALSE,FALSE,Need-based,Standard,7,15
60-005-5187,25,Male,Middle,Single,High School,High,Bailadores,Electronics,USD,$81.91,10,Mixed,2,1,2,Medium,Not Sensitive,0,8,High,Desktop,debit card,7/24/2024,TRUE,TRUE,Wants-based,Standard,2,5
73-259-8940,34,Female,Middle,Widowed,Bachelor's,Middle,Masoyila,Hotels,USD,$135.80,2,Online,1,5,0,High,Very Sensitive,1,6,Low,Tablet,PayPal,11/16/2024,TRUE,FALSE,Planned,Express,9,10
45-337-1798,26,Male,Middle,Married,Bachelor's,Middle,Al QÄrah,Baby Products,USD,$382.24,12,In-Store,5,5,0,Low,Not Sensitive,1,6,Medium,Tablet,Credit Card,7/6/2024,FALSE,TRUE,Wants-based,No Preference,3,15
58-528-6262,42,Male,Middle,Married,Master's,High,Sobue,Software & Apps,USD,$354.70,5,Online,4,5,2,Low,Not Sensitive,0,2,Low,Smartphone,Other,2/10/2024,TRUE,TRUE,Wants-based,No Preference,12,20
80-607-9947,43,Male,High,Divorced,Bachelor's,Middle,Krajan Kidul Rojopolo,Toys & Games,USD,$433.82,6,Online,1,4,2,Low,Somewhat Sensitive,0,9,Medium,Smartphone,other,6/29/2024,FALSE,FALSE,Need-based,Express,10,30
17-648-0171,38,Female,High,Widowed,Bachelor's,Middle,JoÃ£o CÃ¢mara,Groceries,USD,$282.13,5,Online,1,1,0.3,Low,Somewhat Sensitive,1,3,High,Desktop,Other,1/26/2024,TRUE,FALSE,Wants-based,No Preference,9,0
28-764-3337,43,Male,Middle,Divorced,Bachelor's,Middle,Renshan,Electronics,USD,$454.38,10,Mixed,4,3,2,Low,Not Sensitive,1,7,None,Tablet,Other,6/15/2024,FALSE,TRUE,Wants-based,Express,7,30
79-297-1061,44,Male,Middle,Single,Master's,Middle,Kozelâ€™shchyna,Software & Apps,USD,$138.88,7,In-Store,4,5,2,None,Not Sensitive,2,8,None,Smartphone,cash,6/8/2024,FALSE,TRUE,Need-based,Standard,4,5
48-315-0196,23,Male,Middle,Single,High School,Middle,Balboa,Office Supplies,USD,$52.34,6,In-Store,4,4,2,None,Somewhat Sensitive,2,9,Medium,Desktop,Debit Card,5/21/2024,TRUE,FALSE,Wants-based,Express,13,15
49-469-9163,20,Female,Middle,Divorced,Bachelor's,High,Desakolot,Jewelry & Accessories,USD,$338.20,7,Mixed,1,3,0,Low,Very Sensitive,0,2,Low,Smartphone,Credit Card,9/1/2024,TRUE,TRUE,Impulsive,Standard,7,0
41-215-6092,37,Female,High,Single,High School,High,ZubÅ«bah,Books,USD,$263.15,3,In-Store,2,5,0,None,Very Sensitive,0,9,Low,Tablet,Credit Card,3/4/2024,FALSE,TRUE,Planned,Express,10,30
90-170-1951,34,Male,Middle,Widowed,Master's,High,Caitang,Electronics,USD,$371.58,2,Online,2,1,1,None,Very Sensitive,2,9,None,Smartphone,Credit Card,9/13/2024,TRUE,TRUE,Wants-based,No Preference,11,10
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,USD,$353.40,2,Online,5,3,0,High,Not Sensitive,2,10,Medium,Smartphone,paypal,12/6/2024,FALSE,FALSE,Impulsive,Express,3,20
00-107-4749,36,Female,Middle,Single,Master's,Middle,Merlo,Health Supplements,USD,$329.41,5,Mixed,1,1,2,None,Somewhat Sensitive,2,10,High,Smartphone,Credit Card,10/21/2024,TRUE,TRUE,Impulsive,Express,2,10
05-857-1572,23,Female,Middle,Widowed,Bachelor's,High,Rakszawa,Animal Feed,USD,$54.46,5,Mixed,3,5,0,Medium,Not Sensitive,1,1,None,Smartphone,Other,11/17/2024,FALSE,TRUE,Need-based,No Preference,1,0
54-207-8349,40,Male,High,Single,Bachelor's,Middle,San Luis,Baby Products,USD,$257.12,8,Mixed,4,5,2,None,Very Sensitive,2,2,High,Smartphone,Other,7/24/2024,FALSE,FALSE,Need-based,Express,11,25
62-720-2922,30,Male,High,Widowed,Bachelor's,High,Cabanas,Home Appliances,USD,$293.04,11,Online,3,4,1,High,Very Sensitive,1,5,Low,Smartphone,cash,3/3/2024,FALSE,FALSE,Impulsive,No Preference,6,0
82-389-2029,28,Female,High,Widowed,High School,High,SarishÄbÄri,Gardening & Outdoors,USD,$110.40,12,Mixed,1,3,2,High,Somewhat Sensitive,0,3,Medium,Tablet,PayPal,11/13/2024,TRUE,FALSE,Planned,No Preference,12,20
32-414-1466,26,Male,High,Widowed,Master's,Middle,Hallsberg,Sports & Outdoors,USD,$76.27,4,In-Store,5,1,1,None,Not Sensitive,1,1,Medium,Smartphone,debit card,12/24/2024,TRUE,FALSE,Wants-based,Standard,10,15
11-802-5604,26,Male,High,Divorced,High School,Middle,Zengfu,Groceries,USD,$392.08,6,Online,4,5,1,Low,Not Sensitive,2,3,High,Tablet,Cash,8/4/2024,FALSE,FALSE,Impulsive,Express,6,30
65-167-9819,28,Male,High,Divorced,High School,Middle,Punta Gorda,Luxury Goods,USD,$51.22,6,Online,1,3,1,Low,Somewhat Sensitive,0,8,High,Tablet,Credit Card,8/25/2024,TRUE,FALSE,Planned,No Preference,5,25
35-850-8676,24,Female,High,Married,High School,Middle,Sishilichengzi,Luxury Goods,USD,$227.57,2,Online,2,4,0,Low,Somewhat Sensitive,2,8,Medium,Tablet,Cash,8/17/2024,FALSE,TRUE,Planned,No Preference,14,10
34-094-1923,40,Female,Middle,Widowed,Master's,Middle,San Ramon,Sports & Outdoors,USD,$378.87,7,Mixed,5,3,1,None,Not Sensitive,0,9,Medium,Smartphone,PayPal,4/1/2024,FALSE,TRUE,Wants-based,No Preference,5,5
32-314-2958,24,Male,Middle,Married,Master's,High,Nanhuang,Home Appliances,USD,$423.92,8,Mixed,2,4,0,High,Somewhat Sensitive,0,7,None,Tablet,Cash,8/24/2024,TRUE,TRUE,Impulsive,No Preference,8,0
82-864-1154,50,Bigender,High,Divorced,High School,High,Pedraza,Health Care,USD,$111.24,9,In-Store,2,3,0,Medium,Not Sensitive,1,9,None,Desktop,Debit Card,8/6/2024,TRUE,FALSE,Need-based,No Preference,12,0
31-088-6950,27,Female,Middle,Single,Master's,High,Hengshi,Furniture,USD,$299.31,7,Mixed,1,4,1,High,Somewhat Sensitive,0,8,Medium,Desktop,credit card,2/1/2024,FALSE,TRUE,Wants-based,Express,3,20
84-459-7736,22,Genderqueer,Middle,Widowed,Master's,Middle,Xiluodu,Luxury Goods,USD,$169.28,7,Online,2,2,0,High,Very Sensitive,1,6,Medium,Desktop,PayPal,6/17/2024,TRUE,FALSE,Need-based,Express,6,25
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,SÃ£o Roque,Software & Apps,USD,$449.13,9,Online,2,4,1,High,Not Sensitive,0,8,Low,Tablet,Cash,6/12/2024,FALSE,TRUE,Wants-based,Standard,14,0
